ID,TIME,CDS,FX,RESERVE,SM,Mkt,Trsy,HY ,Eq Prem,Vol Prem,EF,BF
BRAZIL,2003-01,1733.333,-0.002122902,0.024605373,-0.033266742,-2.4562,0.24,-0.118827766,0.00159461,0.606796585,-262,12698
BRAZIL,2003-02,1550.833,0.010608725,-0.000104981,-0.037897574,-1.66,-0.33,0.104507202,0.000946213,-2.931788636,-10886,17881
BRAZIL,2003-03,1383.333,-0.058970473,0.094309413,0.137726228,0.9165,0.09,-0.072163816,0.000734057,-0.087735455,42,10635
BRAZIL,2003-04,976.667,-0.138187133,-0.020148233,0.210473611,8.1632,0.07,-0.046547436,-0.003548031,-6.489771294,16115,10874
BRAZIL,2003-05,945,0.02623382,0.051259455,0.024045242,6.2311,-0.55,0.077349896,-0.001805525,6.397929005,11919,7636
BRAZIL,2003-06,885.833,-0.031566168,0.099243218,0.001628945,1.5526,0.16,-0.08482589,0.00050594,1.070159286,18643,5072
BRAZIL,2003-07,866.667,0.032560245,-0.006672739,0.055148614,2.2202,0.92,-0.203477384,-0.000720515,-1.802168309,21473,-8800
BRAZIL,2003-08,770.848,0.000337257,0.008828798,0.10114908,2.3986,0.08,0.128493093,-0.000108694,2.554825396,23605,-9770
BRAZIL,2003-09,765.005,-0.014530865,0.10339069,0.018139403,-0.9982,-0.61,0.188338083,0.003239121,10.24144683,17501,-4439
BRAZIL,2003-10,634.707,-0.022990079,0.021667912,0.108104483,5.9359,0.42,-0.108240937,-0.001962452,-5.473537619,25022,-299
BRAZIL,2003-11,505.815,0.032635339,0.012263726,0.058088984,1.5633,0.11,-0.052775451,0.000139855,1.890141052,14928,-1496
BRAZIL,2003-12,403.919,-0.0204137,-0.095179875,0.176606292,4.4589,-0.13,0.016989387,0.001428334,6.467221512,14178,-1936
BRAZIL,2004-01,492.894,0.017896705,0.075505692,-0.040874694,2.2201,-0.08,0.070941462,-0.000710181,-3.77165102,42965,-37
BRAZIL,2004-02,601.193,-0.00921612,-0.000152288,0.037446888,1.4508,-0.16,-0.001025685,-0.000177723,-1.715440453,26150,1030
BRAZIL,2004-03,573.424,-0.001784856,-0.026235626,-0.00061068,-1.1634,-0.21,-0.022802139,0.003609644,0.06595805,15556,7232
BRAZIL,2004-04,742.284,0.012413177,-0.026140852,-0.147328885,-2.5062,0.83,-0.10235531,0.001472596,-0.020202522,23021,-4401
BRAZIL,2004-05,805.419,0.062629487,0.006023008,-0.016731004,1.3128,0.18,-0.069206009,-0.000133004,-4.573685206,403,-11224
BRAZIL,2004-06,706.941,-0.006903826,-0.014727893,0.049404791,2.0408,0,0.002567461,0.001029087,7.40474603,10029,-4202
BRAZIL,2004-07,610.833,-0.025972772,-0.008770331,0.083869653,-3.8936,-0.1,-0.009041497,0.001717354,-1.427647484,9381,112
BRAZIL,2004-08,486,-0.03072958,0.004148106,0.062932522,0.1264,-0.38,0.13691261,-6.61E-05,3.567765484,1182,4548
BRAZIL,2004-09,443.125,-0.025635781,-0.001933213,0.096035752,1.9077,0.05,-0.142691469,0.001421006,0.249076973,10334,2767
BRAZIL,2004-10,436,-0.000734728,-0.008400277,0.016331769,1.6075,-0.08,0.031004816,-0.000368196,-0.120825011,7143,3550
BRAZIL,2004-11,363.6,-0.044046077,0.020726241,0.103840909,4.6137,0.42,-0.15776215,-0.001371373,-2.374912625,21423,1827
BRAZIL,2004-12,304.5,-0.027945647,0.056726159,0.096085712,3.3287,-0.09,0.053900798,-0.000785689,2.229040915,10265,1713
BRAZIL,2005-01,362.333,-0.011152977,0.014964352,-0.024207256,-2.8612,0.08,-0.092473245,0.00122813,-4.174600927,10105,3816
